language	tagger	token	lemma
English	spaCy-en_core_web_lg	tired	tired
English	spaCy-en_core_web_lg	great	great
English	spaCy-en_core_web_lg	important	important
English	spaCy-en_core_web_lg	many	many
English	spaCy-en_core_web_lg	long	long
English	spaCy-en_core_web_lg	more	more
English	spaCy-en_core_web_lg	great	great
English	spaCy-en_core_web_lg	efficient	efficient
English	spaCy-en_core_web_lg	wonderful	wonderful
English	spaCy-en_core_web_lg	more	more
English	spaCy-en_core_web_lg	efficient	efficient
English	spaCy-en_core_web_lg	adorable	adorable
English	spaCy-en_core_web_lg	cute	cute
English	spaCy-en_core_web_lg	better	well
English	spaCy-en_core_web_lg	sure	sure
English	spaCy-en_core_web_lg	cuter	cute
English	spaCy-en_core_web_lg	stronger	strong
English	spaCy-en_core_web_lg	strong	strong
English	spaCy-en_core_web_lg	sure	sure
English	spaCy-en_core_web_lg	weak	weak
English	spaCy-en_core_web_lg	little	little
English	spaCy-en_core_web_lg	tired	tired
English	spaCy-en_core_web_lg	worried	worried
English	spaCy-en_core_web_lg	easy	easy
English	spaCy-en_core_web_lg	little	little
English	spaCy-en_core_web_lg	better	well
English	spaCy-en_core_web_lg	slow	slow
English	spaCy-en_core_web_lg	great	great
English	spaCy-en_core_web_lg	unsatisfied	unsatisfied
English	spaCy-en_core_web_lg	good	good
English	spaCy-en_core_web_lg	better	well
English	spaCy-en_core_web_lg	limited	limited
English	spaCy-en_core_web_lg	enough	enough
English	spaCy-en_core_web_lg	better	well
English	spaCy-en_core_web_lg	other	other
English	spaCy-en_core_web_lg	good	good
English	spaCy-en_core_web_lg	clear	clear
English	spaCy-en_core_web_lg	beautiful	beautiful
English	spaCy-en_core_web_lg	clear	clear
English	spaCy-en_core_web_lg	clear	clear
English	spaCy-en_core_web_lg	bored	bored
English	spaCy-en_core_web_lg	great	great
English	spaCy-en_core_web_lg	single	single
English	spaCy-en_core_web_lg	leisurely	leisurely
English	spaCy-en_core_web_lg	particular	particular
English	spaCy-en_core_web_lg	about	about
English	spaCy-en_core_web_lg	artistic	artistic
English	spaCy-en_core_web_lg	overwhelmed	overwhelmed
English	spaCy-en_core_web_lg	beautiful	beautiful
English	spaCy-en_core_web_lg	Vibrant	vibrant
English	spaCy-en_core_web_lg	Many	many
English	spaCy-en_core_web_lg	wonderful	wonderful
English	spaCy-en_core_web_lg	more	more
English	spaCy-en_core_web_lg	tired	tired
English	spaCy-en_core_web_lg	amazed	amazed
English	spaCy-en_core_web_lg	inconvenient	inconvenient
English	spaCy-en_core_web_lg	boring	boring
English	spaCy-en_core_web_lg	more	more
English	spaCy-en_core_web_lg	vibrant	vibrant
English	spaCy-en_core_web_lg	big	big
English	spaCy-en_core_web_lg	greedier	greedy
English	spaCy-en_core_web_lg	greedy	greedy
English	spaCy-en_core_web_lg	best	good
English	spaCy-en_core_web_lg	greediest	greedy
English	spaCy-en_core_web_lg	greedy	greedy
English	spaCy-en_core_web_lg	other	other
English	spaCy-en_core_web_lg	expensive	expensive
English	spaCy-en_core_web_lg	great	great
English	spaCy-en_core_web_lg	powerful	powerful
English	spaCy-en_core_web_lg	more	more
English	spaCy-en_core_web_lg	better	well
English	spaCy-en_core_web_lg	more	more
English	spaCy-en_core_web_lg	strong	strong
English	spaCy-en_core_web_lg	amazing	amazing
English	spaCy-en_core_web_lg	OK	ok
English	spaCy-en_core_web_lg	new	new
English	spaCy-en_core_web_lg	Scared	scared
English	spaCy-en_core_web_lg	shocking	shocking
English	spaCy-en_core_web_lg	lucky	lucky
English	spaCy-en_core_web_lg	ready	ready
English	spaCy-en_core_web_lg	Scared	scared
English	spaCy-en_core_web_lg	lucky	lucky
English	spaCy-en_core_web_lg	unlucky	unlucky
English	spaCy-en_core_web_lg	chock	chock
English	spaCy-en_core_web_lg	full	full
English	spaCy-en_core_web_lg	Adorable	adorable
English	spaCy-en_core_web_lg	empty	empty
English	spaCy-en_core_web_lg	jammed	jammed
English	spaCy-en_core_web_lg	vibrant	vibrant
English	spaCy-en_core_web_lg	full	full
English	spaCy-en_core_web_lg	orderly	orderly
English	spaCy-en_core_web_lg	sorry	sorry
English	spaCy-en_core_web_lg	sorry	sorry
English	spaCy-en_core_web_lg	sorry	sorry
English	spaCy-en_core_web_lg	Good	good
English	spaCy-en_core_web_lg	aware	aware
English	spaCy-en_core_web_lg	Good	good
English	spaCy-en_core_web_lg	aware	aware
English	spaCy-en_core_web_lg	same	same
English	spaCy-en_core_web_lg	Good	good
English	spaCy-en_core_web_lg	aware	aware
English	spaCy-en_core_web_lg	Good	good
English	spaCy-en_core_web_lg	stronger	strong
English	spaCy-en_core_web_lg	aware	aware
English	spaCy-en_core_web_lg	ready	ready
English	spaCy-en_core_web_lg	good	good
English	spaCy-en_core_web_lg	last	last
English	spaCy-en_core_web_lg	sorry	sorry
English	spaCy-en_core_web_lg	Successive	successive
English	spaCy-en_core_web_lg	Earlier	early
English	spaCy-en_core_web_lg	current	current
English	spaCy-en_core_web_lg	good	good
English	spaCy-en_core_web_lg	previous	previous
English	spaCy-en_core_web_lg	successive	successive
English	spaCy-en_core_web_lg	other	other
English	spaCy-en_core_web_lg	other	other
English	spaCy-en_core_web_lg	different	different
English	spaCy-en_core_web_lg	other	other
English	spaCy-en_core_web_lg	different	different
English	spaCy-en_core_web_lg	other	other
English	spaCy-en_core_web_lg	different	different
English	spaCy-en_core_web_lg	other	other
English	spaCy-en_core_web_lg	first	first
English	spaCy-en_core_web_lg	right	right
English	spaCy-en_core_web_lg	first	first
English	spaCy-en_core_web_lg	right	right
English	spaCy-en_core_web_lg	Good	good
English	spaCy-en_core_web_lg	Nice	nice
English	spaCy-en_core_web_lg	great	great
English	spaCy-en_core_web_lg	fun	fun
English	spaCy-en_core_web_lg	FOCUSED	focused
English	spaCy-en_core_web_lg	FOCUSED	focused
English	spaCy-en_core_web_lg	OK	ok
English	spaCy-en_core_web_lg	sorry	sorry
English	spaCy-en_core_web_lg	sorry	sorry
English	spaCy-en_core_web_lg	sorry	sorry
English	spaCy-en_core_web_lg	awesome	awesome
English	spaCy-en_core_web_lg	fun	fun
English	spaCy-en_core_web_lg	sorry	sorry
English	spaCy-en_core_web_lg	ready	ready
English	spaCy-en_core_web_lg	sorry	sorry
English	spaCy-en_core_web_lg	ready	ready
English	spaCy-en_core_web_lg	sorry	sorry
English	spaCy-en_core_web_lg	ready	ready
English	spaCy-en_core_web_lg	sorry	sorry
English	spaCy-en_core_web_lg	ready	ready
English	spaCy-en_core_web_lg	eligible	eligible
English	spaCy-en_core_web_lg	different	different
English	spaCy-en_core_web_lg	sure	sure
English	spaCy-en_core_web_lg	same	same
English	spaCy-en_core_web_lg	different	different
English	spaCy-en_core_web_lg	sure	sure
English	spaCy-en_core_web_lg	same	same
English	spaCy-en_core_web_lg	different	different
English	spaCy-en_core_web_lg	sure	sure
English	spaCy-en_core_web_lg	same	same
English	spaCy-en_core_web_lg	different	different
English	spaCy-en_core_web_lg	sure	sure
English	spaCy-en_core_web_lg	same	same
English	spaCy-en_core_web_lg	different	different
English	spaCy-en_core_web_lg	sure	sure
English	spaCy-en_core_web_lg	same	same
English	spaCy-en_core_web_lg	eligible	eligible
English	spaCy-en_core_web_lg	different	different
English	spaCy-en_core_web_lg	different	different
English	spaCy-en_core_web_lg	eligible	eligible
English	spaCy-en_core_web_lg	different	different
English	spaCy-en_core_web_lg	different	different
English	spaCy-en_core_web_lg	eligible	eligible
English	spaCy-en_core_web_lg	different	different
English	spaCy-en_core_web_lg	different	different
English	spaCy-en_core_web_lg	first	first
English	spaCy-en_core_web_lg	weak	weak
English	spaCy-en_core_web_lg	first	first
English	spaCy-en_core_web_lg	weak	weak
English	spaCy-en_core_web_lg	hard	hard
English	spaCy-en_core_web_lg	friendly	friendly
English	spaCy-en_core_web_lg	hard	hard
English	spaCy-en_core_web_lg	friendly	friendly
English	spaCy-en_core_web_lg	little	little
English	spaCy-en_core_web_lg	little	little
English	spaCy-en_core_web_lg	shiny	shiny
English	spaCy-en_core_web_lg	same	same
English	spaCy-en_core_web_lg	old	old
English	spaCy-en_core_web_lg	unusual	unusual
English	spaCy-en_core_web_lg	different	different
English	spaCy-en_core_web_lg	cool	cool
English	spaCy-en_core_web_lg	weak	weak
English	spaCy-en_core_web_lg	more	more
English	spaCy-en_core_web_lg	weak	weak
English	spaCy-en_core_web_lg	more	more
English	spaCy-en_core_web_lg	weak	weak
English	spaCy-en_core_web_lg	more	more
English	spaCy-en_core_web_lg	glad	glad
English	spaCy-en_core_web_lg	ideal	ideal
English	spaCy-en_core_web_lg	dark	dark
English	spaCy-en_core_web_lg	excellent	excellent
English	spaCy-en_core_web_lg	Pleased	pleased
English	spaCy-en_core_web_lg	first	first
English	spaCy-en_core_web_lg	correct	correct
English	spaCy-en_core_web_lg	esteemed	esteemed
English	spaCy-en_core_web_lg	personal	personal
English	spaCy-en_core_web_lg	hard	hard
English	spaCy-en_core_web_lg	strongest	strong
English	spaCy-en_core_web_lg	incredible	incredible
English	spaCy-en_core_web_lg	best	good
English	spaCy-en_core_web_lg	OK	ok
English	spaCy-en_core_web_lg	lucky	lucky
English	spaCy-en_core_web_lg	True	true
English	spaCy-en_core_web_lg	remarkable	remarkable
English	spaCy-en_core_web_lg	strong	strong
English	spaCy-en_core_web_lg	many	many
English	spaCy-en_core_web_lg	novice	novice
English	spaCy-en_core_web_lg	other	other
English	spaCy-en_core_web_lg	stronger	strong
English	spaCy-en_core_web_lg	same	same
English	spaCy-en_core_web_lg	novice	novice
English	spaCy-en_core_web_lg	other	other
English	spaCy-en_core_web_lg	stronger	strong
English	spaCy-en_core_web_lg	slow	slow
English	spaCy-en_core_web_lg	steady	steady
English	spaCy-en_core_web_lg	OK	ok
English	spaCy-en_core_web_lg	stronger	strong
English	spaCy-en_core_web_lg	stronger	strong
English	spaCy-en_core_web_lg	intense	intense
English	spaCy-en_core_web_lg	basic	basic
English	spaCy-en_core_web_lg	effective	effective
English	spaCy-en_core_web_lg	effective	effective
English	spaCy-en_core_web_lg	effective	effective
English	spaCy-en_core_web_lg	incredible	incredible
English	spaCy-en_core_web_lg	proud	proud
English	spaCy-en_core_web_lg	more	more
English	spaCy-en_core_web_lg	more	more
English	spaCy-en_core_web_lg	more	more
English	spaCy-en_core_web_lg	likely	likely
English	spaCy-en_core_web_lg	right	right
English	spaCy-en_core_web_lg	mysterious	mysterious
English	spaCy-en_core_web_lg	scary	scary
English	spaCy-en_core_web_lg	great	great
English	spaCy-en_core_web_lg	small	small
English	spaCy-en_core_web_lg	many	many
English	spaCy-en_core_web_lg	great	great
English	spaCy-en_core_web_lg	difficult	difficult
English	spaCy-en_core_web_lg	hidden	hidden
English	spaCy-en_core_web_lg	able	able
English	spaCy-en_core_web_lg	various	various
English	spaCy-en_core_web_lg	various	various
English	spaCy-en_core_web_lg	such	such
English	spaCy-en_core_web_lg	OK	ok
English	spaCy-en_core_web_lg	wireless	wireless
English	spaCy-en_core_web_lg	little	little
English	spaCy-en_core_web_lg	more	more
English	spaCy-en_core_web_lg	more	more
English	spaCy-en_core_web_lg	sorry	sorry
English	spaCy-en_core_web_lg	happy	happy
English	spaCy-en_core_web_lg	great	great
English	spaCy-en_core_web_lg	right	right
English	spaCy-en_core_web_lg	more	more
English	spaCy-en_core_web_lg	interesting	interesting
English	spaCy-en_core_web_lg	fascinating	fascinating
English	spaCy-en_core_web_lg	interested	interested
English	spaCy-en_core_web_lg	great	great
English	spaCy-en_core_web_lg	quick	quick
English	spaCy-en_core_web_lg	shy	shy
English	spaCy-en_core_web_lg	fun	fun
English	spaCy-en_core_web_lg	quick	quick
English	spaCy-en_core_web_lg	able	able
English	spaCy-en_core_web_lg	more	more
English	spaCy-en_core_web_lg	enough	enough
English	spaCy-en_core_web_lg	shy	shy
English	spaCy-en_core_web_lg	many	many
English	spaCy-en_core_web_lg	better	well
English	spaCy-en_core_web_lg	easier	easy
English	spaCy-en_core_web_lg	many	many
English	spaCy-en_core_web_lg	compatible	compatible
English	spaCy-en_core_web_lg	strong	strong
English	spaCy-en_core_web_lg	favorite	favorite
English	spaCy-en_core_web_lg	strong	strong
English	spaCy-en_core_web_lg	second	second
English	spaCy-en_core_web_lg	full	full
English	spaCy-en_core_web_lg	other	other
English	spaCy-en_core_web_lg	hard	hard
English	spaCy-en_core_web_lg	few	few
English	spaCy-en_core_web_lg	real	real
English	spaCy-en_core_web_lg	great	great
English	spaCy-en_core_web_lg	important	important
English	spaCy-en_core_web_lg	important	important
English	spaCy-en_core_web_lg	ready	ready
English	spaCy-en_core_web_lg	effective	effective
English	spaCy-en_core_web_lg	indoor	indoor
English	spaCy-en_core_web_lg	rough	rough
English	spaCy-en_core_web_lg	important	important
English	spaCy-en_core_web_lg	good	good
English	spaCy-en_core_web_lg	more	more
English	spaCy-en_core_web_lg	mysterious	mysterious
English	spaCy-en_core_web_lg	many	many
English	spaCy-en_core_web_lg	ready	ready
English	spaCy-en_core_web_lg	different	different
English	spaCy-en_core_web_lg	next	next
English	spaCy-en_core_web_lg	Fantastic	fantastic
English	spaCy-en_core_web_lg	Full	full
English	spaCy-en_core_web_lg	bad	bad
English	spaCy-en_core_web_lg	incorrect	incorrect
English	spaCy-en_core_web_lg	asleep	asleep
English	spaCy-en_core_web_lg	unable	unable
English	spaCy-en_core_web_lg	own	own
English	spaCy-en_core_web_lg	asleep	asleep
English	spaCy-en_core_web_lg	helpless	helpless
English	spaCy-en_core_web_lg	own	own
English	spaCy-en_core_web_lg	frozen	frozen
English	spaCy-en_core_web_lg	frozen	frozen
English	spaCy-en_core_web_lg	asleep	asleep
English	spaCy-en_core_web_lg	Normal	normal
English	spaCy-en_core_web_lg	big	big
English	spaCy-en_core_web_lg	perfect	perfect
English	spaCy-en_core_web_lg	same	same
English	spaCy-en_core_web_lg	perfect	perfect
English	spaCy-en_core_web_lg	same	same
English	spaCy-en_core_web_lg	more	more
English	spaCy-en_core_web_lg	strong	strong
English	spaCy-en_core_web_lg	legendary	legendary
English	spaCy-en_core_web_lg	legendary	legendary
English	spaCy-en_core_web_lg	Good	good
English	spaCy-en_core_web_lg	good	good
English	spaCy-en_core_web_lg	hectic	hectic
English	spaCy-en_core_web_lg	OK	ok
English	spaCy-en_core_web_lg	right	right
English	spaCy-en_core_web_lg	old	old
English	spaCy-en_core_web_lg	enterprising	enterprising
English	spaCy-en_core_web_lg	young	young
English	spaCy-en_core_web_lg	good	good
English	spaCy-en_core_web_lg	old	old
English	spaCy-en_core_web_lg	popular	popular
English	spaCy-en_core_web_lg	second	second
English	spaCy-en_core_web_lg	worth	worth
English	spaCy-en_core_web_lg	fashionable	fashionable
English	spaCy-en_core_web_lg	admired	admired
English	spaCy-en_core_web_lg	ordinary	ordinary
English	spaCy-en_core_web_lg	cool	cool
English	spaCy-en_core_web_lg	own	own
English	spaCy-en_core_web_lg	delicious	delicious
English	spaCy-en_core_web_lg	serious	serious
English	spaCy-en_core_web_lg	right	right
English	spaCy-en_core_web_lg	same	same
English	spaCy-en_core_web_lg	same	same
English	spaCy-en_core_web_lg	Impressive	impressive
English	spaCy-en_core_web_lg	lucky	lucky
English	spaCy-en_core_web_lg	old	old
English	spaCy-en_core_web_lg	good	good
English	spaCy-en_core_web_lg	clear	clear
English	spaCy-en_core_web_lg	legendary	legendary
English	spaCy-en_core_web_lg	OK	ok
English	spaCy-en_core_web_lg	OK	ok
English	spaCy-en_core_web_lg	determined	determined
English	spaCy-en_core_web_lg	strong	strong
English	spaCy-en_core_web_lg	new	new
English	spaCy-en_core_web_lg	sorry	sorry
English	spaCy-en_core_web_lg	ideal	ideal
English	spaCy-en_core_web_lg	true	true
English	spaCy-en_core_web_lg	right	right
English	spaCy-en_core_web_lg	right	right
English	spaCy-en_core_web_lg	legendary	legendary
English	spaCy-en_core_web_lg	serious	serious
English	spaCy-en_core_web_lg	other	other
English	spaCy-en_core_web_lg	great	great
English	spaCy-en_core_web_lg	more	more
English	spaCy-en_core_web_lg	OK	ok
English	spaCy-en_core_web_lg	serious	serious
English	spaCy-en_core_web_lg	other	other
English	spaCy-en_core_web_lg	great	great
English	spaCy-en_core_web_lg	more	more
English	spaCy-en_core_web_lg	OK	ok
English	spaCy-en_core_web_lg	fascinated	fascinated
English	spaCy-en_core_web_lg	assistant	assistant
English	spaCy-en_core_web_lg	kind	kind
English	spaCy-en_core_web_lg	amazing	amazing
English	spaCy-en_core_web_lg	ordinary	ordinary
English	spaCy-en_core_web_lg	old	old
English	spaCy-en_core_web_lg	other	other
English	spaCy-en_core_web_lg	old	old
English	spaCy-en_core_web_lg	pretty	pretty
English	spaCy-en_core_web_lg	strong	strong
English	spaCy-en_core_web_lg	kind	kind
English	spaCy-en_core_web_lg	strong	strong
English	spaCy-en_core_web_lg	kind	kind
English	spaCy-en_core_web_lg	Enough	enough
English	spaCy-en_core_web_lg	serious	serious
English	spaCy-en_core_web_lg	Skeletal	skeletal
English	spaCy-en_core_web_lg	mysterious	mysterious
English	spaCy-en_core_web_lg	functional	functional
English	spaCy-en_core_web_lg	efficient	efficient
English	spaCy-en_core_web_lg	former	former
English	spaCy-en_core_web_lg	fascinating	fascinating
English	spaCy-en_core_web_lg	Rare	rare
English	spaCy-en_core_web_lg	ancient	ancient
English	spaCy-en_core_web_lg	bold	bold
English	spaCy-en_core_web_lg	right	right
English	spaCy-en_core_web_lg	skeletal	skeletal
English	spaCy-en_core_web_lg	hard	hard
English	spaCy-en_core_web_lg	ancient	ancient
English	spaCy-en_core_web_lg	unknown	unknown
English	spaCy-en_core_web_lg	ancient	ancient
English	spaCy-en_core_web_lg	certain	certain
English	spaCy-en_core_web_lg	great	great
English	spaCy-en_core_web_lg	Normal	normal
English	spaCy-en_core_web_lg	Normal	normal
English	spaCy-en_core_web_lg	weak	weak
English	spaCy-en_core_web_lg	first	first
English	spaCy-en_core_web_lg	Nice	nice
English	spaCy-en_core_web_lg	Normal	normal
English	spaCy-en_core_web_lg	Normal	normal
English	spaCy-en_core_web_lg	weak	weak
English	spaCy-en_core_web_lg	first	first
English	spaCy-en_core_web_lg	Nice	nice
English	spaCy-en_core_web_lg	first	first
English	spaCy-en_core_web_lg	Strange	strange
English	spaCy-en_core_web_lg	Nice	nice
English	spaCy-en_core_web_lg	first	first
English	spaCy-en_core_web_lg	first	first
English	spaCy-en_core_web_lg	left	left
English	spaCy-en_core_web_lg	left	left
English	spaCy-en_core_web_lg	first	first
English	spaCy-en_core_web_lg	left	left
English	spaCy-en_core_web_lg	second	second
English	spaCy-en_core_web_lg	correct	correct
English	spaCy-en_core_web_lg	only	only
English	spaCy-en_core_web_lg	different	different
English	spaCy-en_core_web_lg	Great	great
English	spaCy-en_core_web_lg	correct	correct
English	spaCy-en_core_web_lg	only	only
English	spaCy-en_core_web_lg	different	different
English	spaCy-en_core_web_lg	third	third
English	spaCy-en_core_web_lg	good	good
English	spaCy-en_core_web_lg	delicious	delicious
English	spaCy-en_core_web_lg	last	last
English	spaCy-en_core_web_lg	last	last
English	spaCy-en_core_web_lg	correct	correct
English	spaCy-en_core_web_lg	last	last
English	spaCy-en_core_web_lg	last	last
English	spaCy-en_core_web_lg	last	last
English	spaCy-en_core_web_lg	studious	studious
English	spaCy-en_core_web_lg	correct	correct
English	spaCy-en_core_web_lg	correct	correct
English	spaCy-en_core_web_lg	great	great
English	spaCy-en_core_web_lg	special	special
English	spaCy-en_core_web_lg	great	great
English	spaCy-en_core_web_lg	Great	great
English	spaCy-en_core_web_lg	Nice	nice
English	spaCy-en_core_web_lg	correct	correct
English	spaCy-en_core_web_lg	mischievous	mischievous
English	spaCy-en_core_web_lg	best	good
English	spaCy-en_core_web_lg	typical	typical
English	spaCy-en_core_web_lg	other	other
English	spaCy-en_core_web_lg	sunny	sunny
English	spaCy-en_core_web_lg	hard	hard
English	spaCy-en_core_web_lg	only	only
English	spaCy-en_core_web_lg	little	little
English	spaCy-en_core_web_lg	first	first
English	spaCy-en_core_web_lg	small	small
English	spaCy-en_core_web_lg	brown	brown
English	spaCy-en_core_web_lg	great	great
English	spaCy-en_core_web_lg	delicious	delicious
English	spaCy-en_core_web_lg	faraway	faraway
English	spaCy-en_core_web_lg	back	back
English	spaCy-en_core_web_lg	impressive	impressive
English	spaCy-en_core_web_lg	third	third
English	spaCy-en_core_web_lg	delicious	delicious
English	spaCy-en_core_web_lg	back	back
English	spaCy-en_core_web_lg	easy	easy
English	spaCy-en_core_web_lg	second	second
English	spaCy-en_core_web_lg	first	first
English	spaCy-en_core_web_lg	first	first
English	spaCy-en_core_web_lg	last	last
English	spaCy-en_core_web_lg	backward	backward
English	spaCy-en_core_web_lg	left	left
English	spaCy-en_core_web_lg	enchanting	enchanting
English	spaCy-en_core_web_lg	charming	charming
English	spaCy-en_core_web_lg	worthy	worthy
English	spaCy-en_core_web_lg	more	more
English	spaCy-en_core_web_lg	strong	strong
English	spaCy-en_core_web_lg	whole	whole
English	spaCy-en_core_web_lg	different	different
English	spaCy-en_core_web_lg	orderly	orderly
English	spaCy-en_core_web_lg	friendly	friendly
English	spaCy-en_core_web_lg	many	many
English	spaCy-en_core_web_lg	cool	cool
English	spaCy-en_core_web_lg	same	same
English	spaCy-en_core_web_lg	different	different
English	spaCy-en_core_web_lg	creative	creative
English	spaCy-en_core_web_lg	creative	creative
English	spaCy-en_core_web_lg	good	good
English	spaCy-en_core_web_lg	good	good
English	spaCy-en_core_web_lg	OK	ok
English	spaCy-en_core_web_lg	strong	strong
English	spaCy-en_core_web_lg	great	great
English	spaCy-en_core_web_lg	great	great
English	spaCy-en_core_web_lg	happy	happy
English	spaCy-en_core_web_lg	lovely	lovely
English	spaCy-en_core_web_lg	friendly	friendly
English	spaCy-en_core_web_lg	happy	happy
English	spaCy-en_core_web_lg	little	little
